/opt/python/lib/python3.12/site-packages/torch/nn/modules/loss.py:610: UserWarning: Using a target size (torch.Size([128, 1])) that is different to the input size (torch.Size([128])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)

Episode 0, Reward: 430.0, MovingAvg(1): 430.00, avgMovingReward: 430.0, Epsilon: 0.8000, Actor_Loss: -58.9212, Critic_Loss: 2989.9937, Entropy: 2.1890

Episode 1, Reward: 210.0, MovingAvg(2): 320.00, avgMovingReward: 408.0, Epsilon: 0.8000, Actor_Loss: -27.3699, Critic_Loss: 1063.3672, Entropy: 2.1262

Episode 2, Reward: 260.0, MovingAvg(3): 300.00, avgMovingReward: 393.2, Epsilon: 0.8000, Actor_Loss: -41.5665, Critic_Loss: 2536.8125, Entropy: 2.0420

Episode 3, Reward: 820.0, MovingAvg(4): 430.00, avgMovingReward: 435.9, Epsilon: 0.8000, Actor_Loss: -116.6472, Critic_Loss: 16069.9178, Entropy: 1.9409

Episode 4, Reward: 320.0, MovingAvg(5): 408.00, avgMovingReward: 424.3, Epsilon: 0.8000, Actor_Loss: -2.0227, Critic_Loss: 557.0947, Entropy: 1.9651

Episode 5, Reward: 270.0, MovingAvg(6): 385.00, avgMovingReward: 408.9, Epsilon: 0.8000, Actor_Loss: 19.9191, Critic_Loss: 326.0088, Entropy: 2.1071

Episode 6, Reward: 260.0, MovingAvg(7): 367.14, avgMovingReward: 394.0, Epsilon: 0.8000, Actor_Loss: -15.4741, Critic_Loss: 935.2158, Entropy: 2.0754

Episode 7, Reward: 280.0, MovingAvg(8): 356.25, avgMovingReward: 382.6, Epsilon: 0.8000, Actor_Loss: 14.4261, Critic_Loss: 210.9390, Entropy: 1.9675

Episode 8, Reward: 250.0, MovingAvg(9): 344.44, avgMovingReward: 369.3, Epsilon: 0.8000, Actor_Loss: -9.4356, Critic_Loss: 783.0018, Entropy: 1.9244

Episode 9, Reward: 260.0, MovingAvg(10): 336.00, avgMovingReward: 358.4, Epsilon: 0.8000, Actor_Loss: -7.7168, Critic_Loss: 274.1798, Entropy: 1.8987

Episode 10, Reward: 240.0, MovingAvg(11): 327.27, avgMovingReward: 346.5, Epsilon: 0.8000, Actor_Loss: -0.5346, Critic_Loss: 113.7926, Entropy: 1.9556

Episode 11, Reward: 250.0, MovingAvg(12): 320.83, avgMovingReward: 336.9, Epsilon: 0.8000, Actor_Loss: 5.2035, Critic_Loss: 185.3546, Entropy: 2.0280

Episode 12, Reward: 270.0, MovingAvg(13): 316.92, avgMovingReward: 330.2, Epsilon: 0.8000, Actor_Loss: -10.2152, Critic_Loss: 215.7558, Entropy: 2.0433

Episode 13, Reward: 190.0, MovingAvg(14): 307.86, avgMovingReward: 316.2, Epsilon: 0.8000, Actor_Loss: 4.8360, Critic_Loss: 202.5002, Entropy: 2.0592

Episode 14, Reward: 330.0, MovingAvg(15): 309.33, avgMovingReward: 317.6, Epsilon: 0.8000, Actor_Loss: -21.1314, Critic_Loss: 609.0034, Entropy: 2.0501

Episode 15, Reward: 310.0, MovingAvg(16): 309.38, avgMovingReward: 316.8, Epsilon: 0.8000, Actor_Loss: 29.8261, Critic_Loss: 1080.5277, Entropy: 1.9810

Episode 16, Reward: 310.0, MovingAvg(17): 309.41, avgMovingReward: 316.1, Epsilon: 0.8000, Actor_Loss: -24.5443, Critic_Loss: 1388.9870, Entropy: 1.9571

Episode 17, Reward: 260.0, MovingAvg(18): 306.67, avgMovingReward: 310.5, Epsilon: 0.8000, Actor_Loss: -9.1774, Critic_Loss: 527.0292, Entropy: 1.9358

Episode 18, Reward: 340.0, MovingAvg(19): 308.42, avgMovingReward: 313.5, Epsilon: 0.8000, Actor_Loss: 0.6690, Critic_Loss: 309.3658, Entropy: 1.9691

Episode 19, Reward: 220.0, MovingAvg(20): 304.00, avgMovingReward: 304.1, Epsilon: 0.8000, Actor_Loss: 35.1752, Critic_Loss: 780.1259, Entropy: 1.9590

Episode 20, Reward: 240.0, MovingAvg(21): 300.95, avgMovingReward: 297.7, Epsilon: 0.8000, Actor_Loss: -21.3027, Critic_Loss: 681.7703, Entropy: 2.0086

Episode 21, Reward: 750.0, MovingAvg(22): 321.36, avgMovingReward: 342.9, Epsilon: 0.8000, Actor_Loss: 12.3211, Critic_Loss: 1093.8509, Entropy: 1.9998

Episode 22, Reward: 360.0, MovingAvg(23): 323.04, avgMovingReward: 344.6, Epsilon: 0.8000, Actor_Loss: 0.3436, Critic_Loss: 830.9512, Entropy: 1.9529

Episode 23, Reward: 340.0, MovingAvg(24): 323.75, avgMovingReward: 344.2, Epsilon: 0.8000, Actor_Loss: 22.0632, Critic_Loss: 885.2804, Entropy: 1.9347

Episode 24, Reward: 190.0, MovingAvg(25): 318.40, avgMovingReward: 328.8, Epsilon: 0.8000, Actor_Loss: -10.0807, Critic_Loss: 172.5075, Entropy: 1.9370

Episode 25, Reward: 220.0, MovingAvg(26): 314.62, avgMovingReward: 317.9, Epsilon: 0.8000, Actor_Loss: -2.4915, Critic_Loss: 192.8366, Entropy: 1.8690

Episode 26, Reward: 240.0, MovingAvg(27): 311.85, avgMovingReward: 310.1, Epsilon: 0.8000, Actor_Loss: -21.3470, Critic_Loss: 548.5308, Entropy: 1.9035

Episode 27, Reward: 370.0, MovingAvg(28): 313.93, avgMovingReward: 316.1, Epsilon: 0.8000, Actor_Loss: 47.9128, Critic_Loss: 1472.4451, Entropy: 1.8705

Episode 28, Reward: 520.0, MovingAvg(29): 321.03, avgMovingReward: 336.5, Epsilon: 0.8000, Actor_Loss: -26.5224, Critic_Loss: 1285.2972, Entropy: 1.9918

Episode 29, Reward: 790.0, MovingAvg(30): 336.67, avgMovingReward: 381.8, Epsilon: 0.8000, Actor_Loss: -9.8684, Critic_Loss: 5639.3842, Entropy: 2.0114

Episode 30, Reward: 440.0, MovingAvg(31): 340.00, avgMovingReward: 387.6, Epsilon: 0.8000, Actor_Loss: 6.4263, Critic_Loss: 2057.0984, Entropy: 2.0727

Episode 31, Reward: 240.0, MovingAvg(32): 336.88, avgMovingReward: 372.9, Epsilon: 0.8000, Actor_Loss: 29.6574, Critic_Loss: 661.4232, Entropy: 2.0277

Episode 32, Reward: 280.0, MovingAvg(33): 335.15, avgMovingReward: 363.6, Epsilon: 0.8000, Actor_Loss: 4.9787, Critic_Loss: 453.3991, Entropy: 2.0330

Episode 33, Reward: 220.0, MovingAvg(34): 331.76, avgMovingReward: 349.2, Epsilon: 0.8000, Actor_Loss: -9.6040, Critic_Loss: 187.7288, Entropy: 2.0252

Episode 34, Reward: 270.0, MovingAvg(35): 330.00, avgMovingReward: 341.3, Epsilon: 0.8000, Actor_Loss: -35.5566, Critic_Loss: 1138.2837, Entropy: 2.0318

Episode 35, Reward: 460.0, MovingAvg(36): 333.61, avgMovingReward: 353.2, Epsilon: 0.8000, Actor_Loss: 29.8303, Critic_Loss: 631.6328, Entropy: 2.0399

Episode 36, Reward: 350.0, MovingAvg(37): 334.05, avgMovingReward: 352.9, Epsilon: 0.8000, Actor_Loss: -35.7229, Critic_Loss: 1328.6392, Entropy: 2.0765

