
Episode 1400, Reward: 530.0, MovingAvg(100): 602.00, avgMovingReward: 642.4, Epsilon: 0.0500, Actor_Loss: 59.9077, Critic_Loss: 4427.6488, Entropy: 2.0510

Episode 1401, Reward: 860.0, MovingAvg(100): 600.00, avgMovingReward: 664.1, Epsilon: 0.0500, Actor_Loss: -35.1880, Critic_Loss: 1932.2927, Entropy: 2.0519

Episode 1402, Reward: 220.0, MovingAvg(100): 599.70, avgMovingReward: 619.7, Epsilon: 0.0500, Actor_Loss: 6.5130, Critic_Loss: 495.0001, Entropy: 2.0361

Episode 1403, Reward: 640.0, MovingAvg(100): 602.20, avgMovingReward: 621.7, Epsilon: 0.0500, Actor_Loss: -29.3140, Critic_Loss: 1907.2861, Entropy: 2.0496

Episode 1404, Reward: 380.0, MovingAvg(100): 600.00, avgMovingReward: 597.6, Epsilon: 0.0500, Actor_Loss: 14.4053, Critic_Loss: 756.8593, Entropy: 2.0471

Episode 1405, Reward: 710.0, MovingAvg(100): 600.80, avgMovingReward: 608.8, Epsilon: 0.0500, Actor_Loss: -10.9926, Critic_Loss: 1262.1820, Entropy: 2.0589

Episode 1406, Reward: 1090.0, MovingAvg(100): 610.40, avgMovingReward: 656.9, Epsilon: 0.0500, Actor_Loss: -74.2635, Critic_Loss: 10456.8291, Entropy: 2.0387

Episode 1407, Reward: 1030.0, MovingAvg(100): 617.40, avgMovingReward: 694.2, Epsilon: 0.0500, Actor_Loss: -79.0177, Critic_Loss: 7522.8039, Entropy: 1.9860

Episode 1408, Reward: 550.0, MovingAvg(100): 620.20, avgMovingReward: 679.8, Epsilon: 0.0500, Actor_Loss: 85.9436, Critic_Loss: 10436.9739, Entropy: 1.9674

Episode 1409, Reward: 640.0, MovingAvg(100): 621.20, avgMovingReward: 675.8, Epsilon: 0.0500, Actor_Loss: 93.1541, Critic_Loss: 10696.2406, Entropy: 1.9825

Episode 1410, Reward: 680.0, MovingAvg(100): 624.90, avgMovingReward: 676.2, Epsilon: 0.0500, Actor_Loss: 45.8842, Critic_Loss: 5364.4802, Entropy: 1.9851

Episode 1411, Reward: 1700.0, MovingAvg(100): 637.50, avgMovingReward: 778.6, Epsilon: 0.0500, Actor_Loss: 69.5649, Critic_Loss: 5701.4014, Entropy: 2.0003

Episode 1412, Reward: 950.0, MovingAvg(100): 641.60, avgMovingReward: 795.8, Epsilon: 0.0500, Actor_Loss: -300.6294, Critic_Loss: 102406.4695, Entropy: 2.0136

Episode 1413, Reward: 310.0, MovingAvg(100): 641.70, avgMovingReward: 747.2, Epsilon: 0.0500, Actor_Loss: 33.5527, Critic_Loss: 1624.3046, Entropy: 2.0119

Episode 1414, Reward: 460.0, MovingAvg(100): 643.60, avgMovingReward: 718.5, Epsilon: 0.0500, Actor_Loss: 26.1451, Critic_Loss: 1555.1927, Entropy: 2.0232

Episode 1415, Reward: 550.0, MovingAvg(100): 641.20, avgMovingReward: 701.6, Epsilon: 0.0500, Actor_Loss: -13.4564, Critic_Loss: 647.3063, Entropy: 2.0420

Episode 1416, Reward: 520.0, MovingAvg(100): 641.70, avgMovingReward: 683.5, Epsilon: 0.0500, Actor_Loss: 68.7592, Critic_Loss: 5712.2651, Entropy: 2.0242

Episode 1417, Reward: 240.0, MovingAvg(100): 640.40, avgMovingReward: 639.1, Epsilon: 0.0500, Actor_Loss: 45.2508, Critic_Loss: 3051.5130, Entropy: 2.0377

Episode 1418, Reward: 1260.0, MovingAvg(100): 650.20, avgMovingReward: 701.2, Epsilon: 0.0500, Actor_Loss: -333.3621, Critic_Loss: 137710.1594, Entropy: 2.0709

Episode 1419, Reward: 260.0, MovingAvg(100): 648.80, avgMovingReward: 657.1, Epsilon: 0.0500, Actor_Loss: 5.8609, Critic_Loss: 441.6589, Entropy: 2.0732

Episode 1420, Reward: 2130.0, MovingAvg(100): 655.40, avgMovingReward: 804.4, Epsilon: 0.0500, Actor_Loss: -745.4233, Critic_Loss: 632673.5125, Entropy: 2.0864

Episode 1421, Reward: 1220.0, MovingAvg(100): 663.80, avgMovingReward: 845.9, Epsilon: 0.0500, Actor_Loss: -32.9888, Critic_Loss: 1973.4202, Entropy: 2.0881

Episode 1422, Reward: 160.0, MovingAvg(100): 660.40, avgMovingReward: 777.3, Epsilon: 0.0500, Actor_Loss: 28.9417, Critic_Loss: 1151.1679, Entropy: 2.0872

Episode 1423, Reward: 300.0, MovingAvg(100): 660.30, avgMovingReward: 729.6, Epsilon: 0.0500, Actor_Loss: 34.5466, Critic_Loss: 1908.3234, Entropy: 2.0996

Episode 1424, Reward: 460.0, MovingAvg(100): 661.70, avgMovingReward: 702.6, Epsilon: 0.0500, Actor_Loss: -6.8532, Critic_Loss: 566.8348, Entropy: 2.1097

Episode 1425, Reward: 330.0, MovingAvg(100): 657.00, avgMovingReward: 665.4, Epsilon: 0.0500, Actor_Loss: 11.0926, Critic_Loss: 370.6446, Entropy: 2.0968

Episode 1426, Reward: 1020.0, MovingAvg(100): 660.00, avgMovingReward: 700.8, Epsilon: 0.0500, Actor_Loss: -268.5786, Critic_Loss: 101067.1836, Entropy: 2.1052

Episode 1427, Reward: 290.0, MovingAvg(100): 654.30, avgMovingReward: 659.8, Epsilon: 0.0500, Actor_Loss: -29.4806, Critic_Loss: 1324.5075, Entropy: 2.1053

Episode 1428, Reward: 860.0, MovingAvg(100): 653.80, avgMovingReward: 679.8, Epsilon: 0.0500, Actor_Loss: -158.4231, Critic_Loss: 29027.4189, Entropy: 2.0972

Episode 1429, Reward: 410.0, MovingAvg(100): 654.60, avgMovingReward: 652.8, Epsilon: 0.0500, Actor_Loss: 6.7285, Critic_Loss: 394.6262, Entropy: 2.0918

Episode 1430, Reward: 470.0, MovingAvg(100): 648.00, avgMovingReward: 634.5, Epsilon: 0.0500, Actor_Loss: 31.8717, Critic_Loss: 1343.5956, Entropy: 2.0938

Episode 1431, Reward: 770.0, MovingAvg(100): 651.40, avgMovingReward: 648.1, Epsilon: 0.0500, Actor_Loss: -87.6202, Critic_Loss: 10216.6582, Entropy: 2.0947

Episode 1432, Reward: 250.0, MovingAvg(100): 641.70, avgMovingReward: 608.3, Epsilon: 0.0500, Actor_Loss: -4.7642, Critic_Loss: 502.4031, Entropy: 2.0865

Episode 1433, Reward: 450.0, MovingAvg(100): 640.10, avgMovingReward: 592.4, Epsilon: 0.0500, Actor_Loss: 63.6161, Critic_Loss: 4621.4290, Entropy: 2.0794

Episode 1434, Reward: 900.0, MovingAvg(100): 641.70, avgMovingReward: 623.2, Epsilon: 0.0500, Actor_Loss: -0.3835, Critic_Loss: 145.2705, Entropy: 2.0929

Episode 1435, Reward: 590.0, MovingAvg(100): 643.90, avgMovingReward: 619.9, Epsilon: 0.0500, Actor_Loss: -80.8393, Critic_Loss: 7549.9534, Entropy: 2.0915

Episode 1436, Reward: 950.0, MovingAvg(100): 650.50, avgMovingReward: 652.9, Epsilon: 0.0500, Actor_Loss: -216.3401, Critic_Loss: 44916.8582, Entropy: 2.0776

Episode 1437, Reward: 360.0, MovingAvg(100): 645.30, avgMovingReward: 623.6, Epsilon: 0.0500, Actor_Loss: 24.6145, Critic_Loss: 860.3340, Entropy: 2.0647

Episode 1438, Reward: 240.0, MovingAvg(100): 638.80, avgMovingReward: 585.2, Epsilon: 0.0500, Actor_Loss: -5.9611, Critic_Loss: 510.6773, Entropy: 2.0694

Episode 1439, Reward: 750.0, MovingAvg(100): 643.20, avgMovingReward: 601.7, Epsilon: 0.0500, Actor_Loss: 42.9923, Critic_Loss: 2404.2913, Entropy: 2.0635

Episode 1440, Reward: 570.0, MovingAvg(100): 645.30, avgMovingReward: 598.5, Epsilon: 0.0500, Actor_Loss: -0.4110, Critic_Loss: 279.9213, Entropy: 2.0792

Episode 1441, Reward: 640.0, MovingAvg(100): 641.70, avgMovingReward: 602.7, Epsilon: 0.0500, Actor_Loss: -23.9126, Critic_Loss: 1334.2037, Entropy: 2.0751

Episode 1442, Reward: 240.0, MovingAvg(100): 641.70, avgMovingReward: 566.4, Epsilon: 0.0500, Actor_Loss: -14.2640, Critic_Loss: 457.9187, Entropy: 2.0632

Episode 1443, Reward: 1030.0, MovingAvg(100): 649.60, avgMovingReward: 612.8, Epsilon: 0.0500, Actor_Loss: -198.2990, Critic_Loss: 62776.3211, Entropy: 2.0467

Episode 1444, Reward: 980.0, MovingAvg(100): 654.90, avgMovingReward: 649.5, Epsilon: 0.0500, Actor_Loss: 85.1596, Critic_Loss: 9258.8415, Entropy: 2.0349

Episode 1445, Reward: 120.0, MovingAvg(100): 653.90, avgMovingReward: 596.6, Epsilon: 0.0500, Actor_Loss: 53.5847, Critic_Loss: 3018.4329, Entropy: 2.0322

Episode 1446, Reward: 690.0, MovingAvg(100): 658.10, avgMovingReward: 605.9, Epsilon: 0.0500, Actor_Loss: 38.4052, Critic_Loss: 1561.1567, Entropy: 2.0455

Episode 1447, Reward: 820.0, MovingAvg(100): 657.40, avgMovingReward: 627.3, Epsilon: 0.0500, Actor_Loss: -40.2185, Critic_Loss: 5291.7303, Entropy: 2.0558

Episode 1448, Reward: 720.0, MovingAvg(100): 659.10, avgMovingReward: 636.6, Epsilon: 0.0500, Actor_Loss: -33.5523, Critic_Loss: 3710.5888, Entropy: 2.0468

Episode 1449, Reward: 3460.0, MovingAvg(100): 689.30, avgMovingReward: 918.9, Epsilon: 0.0500, Actor_Loss: -1598.8272, Critic_Loss: 3000789.8750, Entropy: 2.0455

Episode 1450, Reward: 630.0, MovingAvg(100): 668.60, avgMovingReward: 890.0, Epsilon: 0.0500, Actor_Loss: -16.6755, Critic_Loss: 2593.3745, Entropy: 2.0370

Episode 1451, Reward: 380.0, MovingAvg(100): 665.60, avgMovingReward: 839.0, Epsilon: 0.0500, Actor_Loss: 58.5429, Critic_Loss: 4713.0562, Entropy: 2.0203

Episode 1452, Reward: 490.0, MovingAvg(100): 657.90, avgMovingReward: 804.1, Epsilon: 0.0500, Actor_Loss: 46.5829, Critic_Loss: 2542.3388, Entropy: 2.0287

Episode 1453, Reward: 1460.0, MovingAvg(100): 667.40, avgMovingReward: 869.7, Epsilon: 0.0500, Actor_Loss: -1.3808, Critic_Loss: 255.1599, Entropy: 2.0298

Episode 1454, Reward: 170.0, MovingAvg(100): 663.30, avgMovingReward: 799.7, Epsilon: 0.0500, Actor_Loss: 85.9834, Critic_Loss: 8389.9574, Entropy: 2.0316

Episode 1455, Reward: 380.0, MovingAvg(100): 663.10, avgMovingReward: 757.8, Epsilon: 0.0500, Actor_Loss: 25.0119, Critic_Loss: 1431.2695, Entropy: 2.0402

Episode 1456, Reward: 390.0, MovingAvg(100): 661.60, avgMovingReward: 721.0, Epsilon: 0.0500, Actor_Loss: 6.7509, Critic_Loss: 1548.5649, Entropy: 2.0669

Episode 1457, Reward: 250.0, MovingAvg(100): 657.10, avgMovingReward: 673.9, Epsilon: 0.0500, Actor_Loss: -47.5024, Critic_Loss: 3028.9846, Entropy: 2.0765

Episode 1458, Reward: 440.0, MovingAvg(100): 659.30, avgMovingReward: 650.5, Epsilon: 0.0500, Actor_Loss: -9.0682, Critic_Loss: 479.4231, Entropy: 2.0761

Episode 1459, Reward: 280.0, MovingAvg(100): 658.00, avgMovingReward: 613.5, Epsilon: 0.0500, Actor_Loss: -9.2660, Critic_Loss: 235.3874, Entropy: 2.0689

Episode 1460, Reward: 220.0, MovingAvg(100): 651.30, avgMovingReward: 574.1, Epsilon: 0.0500, Actor_Loss: 29.4546, Critic_Loss: 1370.9322, Entropy: 2.0593

Episode 1461, Reward: 320.0, MovingAvg(100): 649.50, avgMovingReward: 548.7, Epsilon: 0.0500, Actor_Loss: -6.2938, Critic_Loss: 494.5813, Entropy: 2.0599

Episode 1462, Reward: 560.0, MovingAvg(100): 646.10, avgMovingReward: 549.8, Epsilon: 0.0500, Actor_Loss: 41.5037, Critic_Loss: 2410.9001, Entropy: 2.0525

Episode 1463, Reward: 760.0, MovingAvg(100): 649.20, avgMovingReward: 570.8, Epsilon: 0.0500, Actor_Loss: -47.7911, Critic_Loss: 3170.1318, Entropy: 2.0601

Episode 1464, Reward: 340.0, MovingAvg(100): 648.60, avgMovingReward: 547.8, Epsilon: 0.0500, Actor_Loss: -47.5117, Critic_Loss: 2729.1522, Entropy: 2.0501

Episode 1465, Reward: 1820.0, MovingAvg(100): 662.30, avgMovingReward: 675.0, Epsilon: 0.0500, Actor_Loss: -293.4087, Critic_Loss: 128098.9875, Entropy: 2.0356

Episode 1466, Reward: 780.0, MovingAvg(100): 657.80, avgMovingReward: 685.5, Epsilon: 0.0500, Actor_Loss: 10.4023, Critic_Loss: 1372.9236, Entropy: 2.0349

Episode 1467, Reward: 800.0, MovingAvg(100): 660.50, avgMovingReward: 696.9, Epsilon: 0.0500, Actor_Loss: 10.3702, Critic_Loss: 561.0366, Entropy: 2.0430

Episode 1468, Reward: 380.0, MovingAvg(100): 660.00, avgMovingReward: 665.2, Epsilon: 0.0500, Actor_Loss: 6.9080, Critic_Loss: 748.9451, Entropy: 2.0422

Episode 1469, Reward: 480.0, MovingAvg(100): 658.40, avgMovingReward: 646.7, Epsilon: 0.0500, Actor_Loss: -31.7601, Critic_Loss: 2099.4358, Entropy: 2.0436

Episode 1470, Reward: 370.0, MovingAvg(100): 655.50, avgMovingReward: 619.0, Epsilon: 0.0500, Actor_Loss: -20.8728, Critic_Loss: 743.1549, Entropy: 2.0422

Episode 1471, Reward: 700.0, MovingAvg(100): 649.00, avgMovingReward: 627.1, Epsilon: 0.0500, Actor_Loss: 24.6696, Critic_Loss: 1311.0238, Entropy: 2.0251

Episode 1472, Reward: 230.0, MovingAvg(100): 646.20, avgMovingReward: 587.4, Epsilon: 0.0500, Actor_Loss: 17.9677, Critic_Loss: 589.4635, Entropy: 2.0218

Episode 1473, Reward: 230.0, MovingAvg(100): 641.20, avgMovingReward: 551.7, Epsilon: 0.0500, Actor_Loss: 1.4320, Critic_Loss: 929.7145, Entropy: 2.0325

Episode 1474, Reward: 1100.0, MovingAvg(100): 651.10, avgMovingReward: 606.5, Epsilon: 0.0500, Actor_Loss: -33.4652, Critic_Loss: 6997.3753, Entropy: 2.0355

Episode 1475, Reward: 670.0, MovingAvg(100): 650.30, avgMovingReward: 612.9, Epsilon: 0.0500, Actor_Loss: 67.1525, Critic_Loss: 6616.5491, Entropy: 2.0215

Episode 1476, Reward: 530.0, MovingAvg(100): 646.30, avgMovingReward: 604.6, Epsilon: 0.0500, Actor_Loss: -57.9164, Critic_Loss: 5134.8752, Entropy: 2.0262

Episode 1477, Reward: 1010.0, MovingAvg(100): 650.10, avgMovingReward: 645.1, Epsilon: 0.0500, Actor_Loss: 12.2494, Critic_Loss: 4554.1341, Entropy: 2.0181

Episode 1478, Reward: 290.0, MovingAvg(100): 642.40, avgMovingReward: 609.6, Epsilon: 0.0500, Actor_Loss: 1.7809, Critic_Loss: 323.5826, Entropy: 2.0144

Episode 1479, Reward: 390.0, MovingAvg(100): 642.80, avgMovingReward: 587.6, Epsilon: 0.0500, Actor_Loss: 22.3325, Critic_Loss: 1764.5329, Entropy: 2.0201

Episode 1480, Reward: 260.0, MovingAvg(100): 640.10, avgMovingReward: 554.9, Epsilon: 0.0500, Actor_Loss: 13.7428, Critic_Loss: 890.7032, Entropy: 2.0271

Episode 1481, Reward: 190.0, MovingAvg(100): 638.70, avgMovingReward: 518.4, Epsilon: 0.0500, Actor_Loss: 71.5851, Critic_Loss: 5535.3517, Entropy: 2.0554

Episode 1482, Reward: 290.0, MovingAvg(100): 636.70, avgMovingReward: 495.6, Epsilon: 0.0500, Actor_Loss: -3.1282, Critic_Loss: 1108.1931, Entropy: 2.0826

Episode 1483, Reward: 640.0, MovingAvg(100): 634.70, avgMovingReward: 510.0, Epsilon: 0.0500, Actor_Loss: 32.1402, Critic_Loss: 1709.6931, Entropy: 2.0783

Episode 1484, Reward: 510.0, MovingAvg(100): 631.00, avgMovingReward: 510.0, Epsilon: 0.0500, Actor_Loss: -13.5029, Critic_Loss: 1143.4292, Entropy: 2.0759

Episode 1485, Reward: 1330.0, MovingAvg(100): 640.20, avgMovingReward: 592.0, Epsilon: 0.0500, Actor_Loss: -149.0636, Critic_Loss: 72000.5891, Entropy: 2.0558

Episode 1486, Reward: 680.0, MovingAvg(100): 644.30, avgMovingReward: 600.8, Epsilon: 0.0500, Actor_Loss: -77.0896, Critic_Loss: 11663.6280, Entropy: 2.0414

Episode 1487, Reward: 1150.0, MovingAvg(100): 650.90, avgMovingReward: 655.7, Epsilon: 0.0500, Actor_Loss: -47.6464, Critic_Loss: 12369.3364, Entropy: 2.0288

Episode 1488, Reward: 620.0, MovingAvg(100): 653.20, avgMovingReward: 652.1, Epsilon: 0.0500, Actor_Loss: -22.1897, Critic_Loss: 994.0568, Entropy: 2.0032

Episode 1489, Reward: 1730.0, MovingAvg(100): 665.30, avgMovingReward: 759.9, Epsilon: 0.0500, Actor_Loss: -8.9711, Critic_Loss: 69994.9508, Entropy: 1.9784

Episode 1490, Reward: 390.0, MovingAvg(100): 665.10, avgMovingReward: 722.9, Epsilon: 0.0500, Actor_Loss: 48.3511, Critic_Loss: 2888.3007, Entropy: 1.9726

Episode 1491, Reward: 690.0, MovingAvg(100): 667.00, avgMovingReward: 719.6, Epsilon: 0.0500, Actor_Loss: 22.9590, Critic_Loss: 847.6056, Entropy: 2.0023

Episode 1492, Reward: 370.0, MovingAvg(100): 667.10, avgMovingReward: 684.7, Epsilon: 0.0500, Actor_Loss: 36.3805, Critic_Loss: 1553.3051, Entropy: 2.0149

Episode 1493, Reward: 900.0, MovingAvg(100): 672.80, avgMovingReward: 706.2, Epsilon: 0.0500, Actor_Loss: 4.7201, Critic_Loss: 1894.4258, Entropy: 2.0398

Episode 1494, Reward: 330.0, MovingAvg(100): 667.80, avgMovingReward: 668.6, Epsilon: 0.0500, Actor_Loss: -8.8906, Critic_Loss: 504.3458, Entropy: 2.0421

Episode 1495, Reward: 280.0, MovingAvg(100): 664.90, avgMovingReward: 629.7, Epsilon: 0.0500, Actor_Loss: 68.1600, Critic_Loss: 5304.9363, Entropy: 2.0434

